nume, autor, anul publicarii, editura, isbn
Idiotul, F. M. Dostoievski, 2007, Polirom, 9789734608263
Batranul si marea, Ernest Hemingway, 2014, Polirom, 9789734608256
Alchimistul, Paulo Coelho, 2018, Humanitas, 9786067793802
Cimitirul animalelor, Stephen King, 2019, Armada, 9786064306258
Misery, Stephen King, 2020, Armada, 9786064309792
Salem's Lot, Stephen King, 2020, Armada, 9786064309105
